,Fermetrue,Ouverture,latitude,longitude
Notre-Dame-de-Lorette,,1910-11-05 00:00:00,48.876084000000006,2.3385860000000003
Notre-Dame-des-Champs,,1910-11-05 00:00:00,48.8445676070392,2.3287877440452576
Oberkampf,,1907-01-15 00:00:00,48.864545,2.368877
Odéon,,1910-01-09 00:00:00,48.852066,2.338951
Olympiades,,2007-06-26 00:00:00,48.827020000000005,2.366403
Opéra,,1904-10-19 00:00:00,48.87063594670896,2.33235239982605
Ourcq,,1942-10-12 00:00:00,48.88685562740621,2.3857471346855164
Palais-Royal - Musée du Louvre,,1900-07-19 00:00:00,48.8628468213553,2.33581661194832
Parmentier,,1904-10-19 00:00:00,48.865299,2.374381
Passy,,1907-10-17 00:00:00,48.857445,2.2857790000000002
Pasteur,,1907-10-17 00:00:00,48.84283594291325,2.312681078910828
Pelleport,,1921-11-27 00:00:00,48.86867052976458,2.4017518758773804
Pereire,,1910-05-23 00:00:00,48.884648,2.299211
Pernety,,1937-01-21 00:00:00,48.83421026935986,2.318512201309204
Philippe Auguste,,1903-01-31 00:00:00,48.858021,2.3909380000000002
Picpus,,1909-03-01 00:00:00,48.84515011056496,2.400493919849396
Pierre et Marie Curie,,1946-05-01 00:00:00,48.815917727893705,2.3778936266899113
Pigalle,,1902-10-07 00:00:00,48.882255,2.337573
Place Monge,,1930-02-15 00:00:00,48.84359,2.3522790000000002
Place d'Italie,,1906-06-02 00:00:00,48.831483,2.355692
Place de Clichy,,1902-10-26 00:00:00,48.883809,2.327625
Place des Fêtes,,1912-02-13 00:00:00,48.87684044135325,2.3929595947265625
Plaisance,,1937-01-21 00:00:00,48.83155306495407,2.3137405514717098
Pointe du Lac,,2011-10-08 00:00:00,48.76878621682943,2.464810609817505
Poissonnière,,1910-11-05 00:00:00,48.87707505741319,2.3484456539154053
Pont Marie,,1926-04-16 00:00:00,48.85328679986589,2.3576161265373234
Pont de Levallois - Bécon,,1937-09-24 00:00:00,48.897313,2.280787
Pont de Neuilly,,1937-04-29 00:00:00,,
Pont de Sèvres,,1934-02-03 00:00:00,48.82974679173584,2.2310346364974976
Pont-Neuf,,1926-04-16 00:00:00,,
Porte Dauphine,,1900-12-13 00:00:00,48.871545000000005,2.276768
Porte Dorée,,1931-05-05 00:00:00,48.835481440233785,2.406099736690521
Porte Maillot,,1900-07-19 00:00:00,,
Porte d'Auteuil,,1913-09-30 00:00:00,48.848025,2.25875
Porte d'Italie,,1930-03-07 00:00:00,48.819196000000005,2.360805
Porte d'Ivry,,1931-04-26 00:00:00,48.82095992409987,2.3704397678375244
Porte d'Orléans,,1909-10-30 00:00:00,48.823190000000004,2.3253630000000003
Porte de Bagnolet,,1971-04-02 00:00:00,48.864565,2.407278
Porte de Champerret,,1911-02-11 00:00:00,48.885851,2.293487
Porte de Charenton,,1931-05-05 00:00:00,48.83278016357195,2.4004000425338745
Porte de Choisy,,1930-03-07 00:00:00,48.82031532834292,2.3652926087379456
Porte de Clichy,,1912-01-20 00:00:00,48.89434542156371,2.3136520385742188
Porte de Clignancourt,,1908-04-21 00:00:00,48.8972870603971,2.34477887737988
Porte de Montreuil,,1933-12-10 00:00:00,48.853791548745406,2.41224467754364
Porte de Pantin,,1942-10-12 00:00:00,48.88847113352345,2.391814291477204
Porte de Saint-Cloud,,1923-09-29 00:00:00,48.838082,2.256956
Porte de Saint-Ouen,,1911-02-26 00:00:00,48.896773588183216,2.3287099599838257
Porte de Vanves,,1937-01-21 00:00:00,48.82794045340098,2.30588436126709
Porte de Versailles,,1910-11-05 00:00:00,48.832328000000004,2.287841
Porte de Vincenne,,1900-07-19 00:00:00,,
Porte de la Chapelle,,1916-08-23 00:00:00,48.89727437185633,2.359190583229065
Porte de la Villette,,1910-11-05 00:00:00,48.89708922354763,2.3858758807182308
Porte des Lilas,,1921-11-27 00:00:00,48.877183,2.4066549999999998
Pré-Saint-Gervais,,1911-01-18 00:00:00,48.880250204137624,2.398914098739624
Pyramides,,1916-07-01 00:00:00,48.8669463020695,2.33366506577888
Pyrénées,,1935-04-28 00:00:00,48.87387501119303,2.3852589726448064
Père Lachaise,,1903-02-25 00:00:00,48.862921,2.387388
Quai de la Gare,,1909-03-01 00:00:00,48.837069,2.372773
Quai de la Rapée,,1906-07-13 00:00:00,48.84653926586897,2.365826368331909
Quatre-Septembre,,1904-11-03 00:00:00,48.869574,2.336633
Rambuteau,,1935-04-28 00:00:00,48.861951,2.353905
Ranelagh,,1922-11-08 00:00:00,48.855019867415066,2.2696343064308167
Raspail,,1907-10-17 00:00:00,48.83919413380315,2.3306062817573547
Rennes,,1910-11-05 00:00:00,48.84819314003872,2.3277631402015686
Reuilly - Diderot,,1900-08-20 00:00:00,,
Richard-Lenoir,,1906-12-17 00:00:00,48.859772,2.371843
Richelieu - Drouot,,1928-06-30 00:00:00,48.87198734660088,2.338741421699524
Riquet,,1910-11-05 00:00:00,48.88788031583326,2.3735779523849487
Robespierre,,1937-10-14 00:00:00,48.855683,2.4236779999999998
Rome,,1902-11-06 00:00:00,48.882425,2.3220520000000002
Rue Saint-Maur,,1904-10-19 00:00:00,48.864335,2.379448
Rue de la Pompe,,1922-11-08 00:00:00,48.8639119250494,2.2790515422821045
Rue des Boulets,,1933-12-10 00:00:00,48.85181135088584,2.3901513218879704
Rue du Bac,,1910-11-05 00:00:00,48.855690488452424,2.3256066441535954
Réaumur - Sébastopol,,1904-11-19 00:00:00,48.86624629158102,2.3523885011672974
République,,1904-10-19 00:00:00,48.867503,2.363811
Saint-Ambroise,,1933-12-10 00:00:00,48.861295117176496,2.3742109537124634
Saint-Augustin,,1923-05-27 00:00:00,48.874441296682264,2.322133183479309
Saint-Denis - Porte de Paris,,1976-06-20 00:00:00,48.93021103557575,2.357769012451172
Saint-Denis - Université,,1998-05-25 00:00:00,48.945799,2.363674
Saint-Fargeau,,1921-11-27 00:00:00,48.872082613623235,2.404519915580749
Saint-François-Xavier,,1923-12-30 00:00:00,48.851950779145,2.3144754767417908
Saint-Georges,,1911-04-08 00:00:00,48.8784492150952,2.3373815417289734
Saint-Germain-des-Prés,,1910-01-09 00:00:00,48.85377390026906,2.333280444145202
Saint-Jacques,,1907-10-17 00:00:00,48.83291258248949,2.3370811343193054
Saint-Lazare,,1904-10-19 00:00:00,48.8755778691635,2.3261856585519998
Saint-Mandé,,1934-03-24 00:00:00,,
Saint-Marcel,,1906-06-02 00:00:00,48.83798837714302,2.3604163527488713
Saint-Martin,1939-09-02 00:00:00,1931-05-05 00:00:00,48.86844,2.358661
Saint-Michel,,1910-07-09 00:00:00,48.85365036076029,2.343928813934326
Saint-Paul,,1900-08-06 00:00:00,48.8551436006388,2.36065335403361
Saint-Philippe du Roule,,1923-05-27 00:00:00,48.8719414772291,2.310036420822144
Saint-Placide,,1910-01-09 00:00:00,48.84684462775155,2.326912879943848
Saint-Sulpice,,1910-01-09 00:00:00,48.850909470109436,2.330651879310608
Saint-Sébastien - Froissart,,1931-05-05 00:00:00,48.8604798732861,2.3673579096794133
Sentier,,1904-11-20 00:00:00,48.867569,2.346387
Simplon,,1908-04-21 00:00:00,48.894632689196904,2.34709106533484
Solférino,,1910-11-05 00:00:00,48.8582493546056,2.3232248425483704
Stalingrad,,1903-01-31 00:00:00,48.88426294845647,2.3658236861228943
Strasbourg - Saint-Denis,,1908-04-21 00:00:00,48.869591497765406,2.3540085554122925
Sully - Morland,,1930-06-03 00:00:00,48.85142483254237,2.3618942499160767
Sèvres - Babylone,,1910-11-05 00:00:00,48.85150954914697,2.326655387878418
Sèvres - Lecourbe,,1907-10-17 00:00:00,48.84563375985922,2.3094758391380306
Ségur,,1937-09-29 00:00:00,48.84743416507783,2.3068526387214656
Temple,,1904-10-19 00:00:00,48.866488000000004,2.360595
Ternes,,1902-10-07 00:00:00,48.878178000000005,2.298671
Tolbiac,,1930-03-07 00:00:00,48.826665000000006,2.357678
Trinité - d'Estienne d'Orves,,1910-11-05 00:00:00,48.87630240788771,2.3331972956657405
Trocadéro,,1900-10-02 00:00:00,48.863301407600744,2.2870606184005737
Tuileries,,1900-07-19 00:00:00,48.864497096697505,2.33031418026416
Télégraphe,,1935-04-28 00:00:00,48.875462711309595,2.3984339833259583
Vaneau,,1923-12-30 00:00:00,48.848811,2.321205
Varenne,,1923-12-30 00:00:00,48.856237567381754,2.3149207234382634
Vaugirard,,1910-11-05 00:00:00,48.839649,2.301491
Vavin,,1910-01-09 00:00:00,48.842232229417526,2.3289486765861507
Victor Hugo,,1900-12-13 00:00:00,48.869817,2.285199
Villejuif - Louis Aragon,,1985-02-28 00:00:00,48.7871754765213,2.36756443977356
Villejuif - Léo Lagrange,,1985-02-28 00:00:00,48.8037684557526,2.363927364349365
Villejuif - Paul Vaillant-Couturier,,1985-02-28 00:00:00,48.795991235303404,2.3682484030723567
Villiers,,1903-01-21 00:00:00,48.881130389686575,2.3148670792579646
Volontaires,,1910-11-05 00:00:00,48.841342533106854,2.307504415512085
Voltaire,,1933-12-10 00:00:00,48.857802886000655,2.3801064491271973
Wagram,,1910-05-23 00:00:00,48.884057,2.303668
École Militaire,,1913-07-13 00:00:00,48.8551098723394,2.3067373037338257
École vétérinaire de Maisons-Alfort,,1970-09-19 00:00:00,48.81519005560035,2.4218818545341487
Église d'Auteuil,,1913-09-30 00:00:00,48.84716940366413,2.2690200805664062
Église de Pantin,,1942-10-12 00:00:00,48.89362770557985,2.4129179120063777
Étienne Marcel,,1908-04-21 00:00:00,48.86411131208257,2.3506075143814087
