Station,code,construction,fermeture,latitude,ligne,ligne 1,mise en service 1,ligne 2,mise en service 2,ligne 3,mise en service 3,ligne 4,mise en service 4,ligne 5,mise en service 5,longitude,url,nom inaugural,station précédente 1,station suivante 1,station précédente 2,station suivante 2,station précédente 3,station suivante 3,station précédente 4,station suivante 4,station précédente 5,station suivante 5
Daumesnil,13-11,,,48.8396443,"6, 8",6,1er mars 1909,8,5 mai 1931,,,,,,,2.395792007,https://fr.wikipedia.org/w/index.php?title=Daumesnil_(m%C3%A9tro_de_Paris)&action=raw,,Dugommier (métro de Paris)|Dugommier,Bel-Air (métro de Paris)|Bel-Air,Montgallet (métro de Paris)|Montgallet,Michel Bizot (métro de Paris)|Michel Bizot,,,,,,
Denfert-Rochereau,1514,,,48.8339013,"4, 6",4,24 avril 1906,6,30 octobre 190,,,,,,,2.332727909,https://fr.wikipedia.org/w/index.php?title=Denfert-Rochereau_(m%C3%A9tro_de_Paris)&action=raw,,Raspail (métro de Paris)|Raspail,Mouton-Duvernet (métro de Paris)|Mouton-Duvernet,Raspail (métro de Paris)|Raspail,Saint-Jacques (métro de Paris)|Saint-Jacques,,,,,,
Dugommier,13-08,,,48.83904937,6,6,1 mars 1909,,,,,,,,,2.389963567,https://fr.wikipedia.org/w/index.php?title=Dugommier_(m%C3%A9tro_de_Paris)&action=raw,Charenton,Bercy (métro de Paris)|Bercy,Daumesnil (métro de Paris)|Daumesnil,,,,,,,,
Dupleix,17-07,,,48.85039234,6,6,24 avril 1906,,,,,,,,,2.293610573,https://fr.wikipedia.org/w/index.php?title=Dupleix_(m%C3%A9tro_de_Paris)&action=raw,,Bir-Hakeim (métro de Paris)|Bir-Hakeim,La Motte-Picquet - Grenelle (métro de Paris)|La Motte-Picquet - Grenelle,,,,,,,,
Duroc,207,,,48.84682874,"10, 13",10,30 décembre 1923,13,27 juillet 1937,,,,,,,2.316479087,https://fr.wikipedia.org/w/index.php?title=Duroc_(m%C3%A9tro_de_Paris)&action=raw,,Ségur (métro de Paris)|Ségur,Vaneau (métro de Paris)|Vaneau,Saint-François-Xavier (métro de Paris)|Saint-François-Xavier,Montparnasse - Bienvenüe (métro de Paris)|Montparnasse - Bienvenüe,,,,,,
École Militaire,10-07,,,48.85510987,8,8,13 juillet 1913,,,,,,,,,2.306737304,https://fr.wikipedia.org/w/index.php?title=%C3%89cole_Militaire_(m%C3%A9tro_de_Paris)&action=raw,,La Motte-Picquet - Grenelle (métro de Paris)|La Motte-Picquet - Grenelle,La Tour-Maubourg (métro de Paris)|La Tour-Maubourg,,,,,,,,
École vétérinaire de Maisons-Alfort,25-14,,,48.81519006,8,8,19 septembre 1970,,,,,,,,,2.421881855,https://fr.wikipedia.org/w/index.php?title=%C3%89cole_v%C3%A9t%C3%A9rinaire_de_Maisons-Alfort_(m%C3%A9tro_de_Paris)&action=raw,Maisons-Alfort - École vétérinaire,Charenton - Écoles (métro de Paris)|Charenton - Écoles,Maisons-Alfort - Stade (métro de Paris)|Maisons-Alfort - Stade,,,,,,,,
Edgar Quinet,04-06,,,48.84104773,6,6,24 avril 1906,,,,,,,,,2.325083613,https://fr.wikipedia.org/w/index.php?title=Edgar_Quinet_(m%C3%A9tro_de_Paris)&action=raw,,Montparnasse - Bienvenüe (métro de Paris)|Montparnasse - Bienvenüe,Raspail (métro de Paris)|Raspail,,,,,,,,
Église d'Auteuil,07-08,,,48.8471694,10,10,30 septembre 1913,,,,,,,,,2.269020081,https://fr.wikipedia.org/w/index.php?title=%C3%89glise_d%27Auteuil_(m%C3%A9tro_de_Paris)&action=raw,,Michel-Ange - Auteuil (métro de Paris)|Michel-Ange - Auteuil,Javel - André Citroën (métro de Paris)|Javel - André Citroën,,,,,,,,
Église de Pantin,03-10,,,48.89362771,5,5,12 octobre 1942,,,,,,,,,2.412917912,https://fr.wikipedia.org/w/index.php?title=%C3%89glise_de_Pantin_(m%C3%A9tro_de_Paris)&action=raw,,Bobigny - Pantin - Raymond Queneau (métro de Paris)|Bobigny - Pantin - Raymond Queneau,Hoche (métro de Paris)|Hoche,,,,,,,,
Étienne Marcel,1115,,,48.86411131,4,4,21 avril 1908,,,,,,,,,2.350607514,https://fr.wikipedia.org/w/index.php?title=%C3%89tienne_Marcel_(m%C3%A9tro_de_Paris)&action=raw,,Réaumur - Sébastopol (métro de Paris)|Réaumur - Sébastopol,Les Halles (métro de Paris)|Les Halles,,,,,,,,
Europe,612,,,48.878821,3,3,19 octobre 1904,,,,,,,,,2.32238,https://fr.wikipedia.org/w/index.php?title=Europe_(m%C3%A9tro_de_Paris)&action=raw,,Villiers (métro de Paris)|Villiers,Saint-Lazare (métro de Paris)|Saint-Lazare,,,,,,,,
Exelmans,714,,,48.84240522,9,9,8 novembre 1922,,,,,,,,,2.259549201,https://fr.wikipedia.org/w/index.php?title=Exelmans_(m%C3%A9tro_de_Paris)&action=raw,,Porte de Saint-Cloud (métro de Paris)|Porte de Saint-Cloud,Michel-Ange - Molitor (métro de Paris)|Michel-Ange - Molitor,,,,,,,,
Faidherbe - Chaligny,12-01,,,48.8501576,8,8,5 mai 1931,,,,,,,,,2.38339752,https://fr.wikipedia.org/w/index.php?title=Faidherbe_-_Chaligny_(m%C3%A9tro_de_Paris)&action=raw,,Ledru-Rollin (métro de Paris)|Ledru-Rollin,Reuilly - Diderot (métro de Paris)|Reuilly - Diderot,,,,,,,,
Falguière,1601,,,48.84449,12,12,5 novembre 1910,,,,,,,,,2.317954,https://fr.wikipedia.org/w/index.php?title=Falgui%C3%A8re_(m%C3%A9tro_de_Paris)&action=raw,,Montparnasse - Bienvenüe (métro de Paris)|Montparnasse - Bienvenüe,Pasteur (métro de Paris)|Pasteur,,,,,,,,
Félix Faure,1612,,,48.842351,8,8,27 juillet 1937,,,,,,,,,2.291004,https://fr.wikipedia.org/w/index.php?title=F%C3%A9lix_Faure_(m%C3%A9tro_de_Paris)&action=raw,,Boucicaut (métro de Paris)|Boucicaut,Commerce (métro de Paris)|Commerce,,,,,,,,
Filles du Calvaire,812,,,48.86407249,8,8,5 mai 1931,,,,,,,,,2.366121411,https://fr.wikipedia.org/w/index.php?title=Filles_du_Calvaire_(m%C3%A9tro_de_Paris)&action=raw,,République (métro de Paris)|République,Saint-Sébastien - Froissart (métro de Paris)|Saint-Sébastien - Froissart,,,,,,,,
Fort d'Aubervilliers,306,,,48.91423986,7,7,4 octobre 1979,,,,,,,,,2.40378499,https://fr.wikipedia.org/w/index.php?title=Fort_d%27Aubervilliers_(m%C3%A9tro_de_Paris)&action=raw,,La Courneuve - 8 Mai 1945 (métro de Paris)|La Courneuve - 8 Mai 1945,Aubervilliers - Pantin - Quatre Chemins (métro de Paris)|Aubervilliers - Pantin - Quatre Chemins,,,,,,,,
Franklin D. Roosevelt,1807,,,48.86930523,"1, 9",1,19 juillet 1900,9,27 mai 1923,,,,,,,2.308308765,https://fr.wikipedia.org/w/index.php?title=Franklin_D._Roosevelt_(m%C3%A9tro_de_Paris)&action=raw,,George V (métro de Paris)|George V,Champs-Élysées - Clemenceau (métro de Paris)|Champs-Élysées - Clemenceau,Alma - Marceau (métro de Paris)|Alma - Marceau,Saint-Philippe du Roule (métro de Paris)|Saint-Philippe du Roule,,,,,,
Front Populaire,FPO,,,48.90689109,12,12,18 décembre 2012,,,,,,,,,2.365793764,https://fr.wikipedia.org/w/index.php?title=Front_Populaire_(m%C3%A9tro_de_Paris)&action=raw,,''Terminus''',Porte de la Chapelle (métro de Paris)|Porte de la Chapelle,,,,,,,,
Gabriel Péri,19-02,,,48.91657541,13,13,3 mai 1980,,,,,,,,,2.294388413,https://fr.wikipedia.org/w/index.php?title=Gabriel_P%C3%A9ri_(m%C3%A9tro_de_Paris)&action=raw,Gabriel Péri − Asnières-Gennevilliers,Les Agnettes (métro de Paris)|Les Agnettes,Mairie de Clichy (métro de Paris)|Mairie de Clichy,,,,,,,,
Gaîté,04-04,,,48.83865393,13,13,21 janvier 1937,,,,,,,,,2.322637439,https://fr.wikipedia.org/w/index.php?title=Ga%C3%AEt%C3%A9_(m%C3%A9tro_de_Paris)&action=raw,,Montparnasse - Bienvenüe (métro de Paris)|Montparnasse - Bienvenüe,Pernety (métro de Paris)|Pernety,,,,,,,,
Gallieni,23-05,,,48.864936,3,3,2 avril 1971,,,,,,,,,2.416637,https://fr.wikipedia.org/w/index.php?title=Gallieni_(m%C3%A9tro_de_Paris)&action=raw,,Porte de Bagnolet (métro de Paris)|Porte de Bagnolet,''Terminus''',,,,,,,,
Gambetta,2410,,,48.864947,"3, 3bis",3,25 janvier 1905,3 bis,27 mars 1971,,,,,,,2.398451,https://fr.wikipedia.org/w/index.php?title=Gambetta_(m%C3%A9tro_de_Paris)&action=raw,,Père Lachaise (métro de Paris)|Père Lachaise,Porte de Bagnolet (métro de Paris)|Porte de Bagnolet,Pelleport (métro de Paris)|Pelleport,''Terminus''',,,,,,
Gare de l'Est,2109,,,48.87614188,"4, 5, 7",4,15 novembre 1907,5,21 avril 1908,7,5 novembre 1910,,,,,2.358278632,https://fr.wikipedia.org/w/index.php?title=Gare_de_l%27Est_(m%C3%A9tro_de_Paris)&action=raw,,Gare du Nord (métro de Paris)|Gare du Nord,Château d'Eau (métro de Paris)|Château d'Eau,Gare du Nord (métro de Paris)|Gare du Nord,Jacques Bonsergent (métro de Paris)|Jacques Bonsergent,Château-Landon (métro de Paris)|Château-Landon,Poissonnière (métro de Paris)|Poissonnière,,,,
Gare de Lyon,908,,,48.84470455,"1, 14",1,19 juillet 1900,14,15 octobre 1998,5,13 juillet 1906,,,,,2.374065908,https://fr.wikipedia.org/w/index.php?title=Gare_de_Lyon_(m%C3%A9tro_de_Paris)&action=raw,,Bastille (métro de Paris)|Bastille,Reuilly - Diderot (métro de Paris)|Reuilly - Diderot,Châtelet (métro de Paris)|Châtelet,Bercy (métro de Paris)|Bercy,,,,,,
Gare du Nord,2108 et NOR,,,48.88057476,"4, 5",4,21 avril 1908,5,15 novembre 1907,,,,,,,2.354931235,https://fr.wikipedia.org/w/index.php?title=Gare_du_Nord_(m%C3%A9tro_de_Paris)&action=raw,,Barbès - Rochechouart (métro de Paris)|Barbès - Rochechouart,Gare de l'Est (métro de Paris)|Gare de l'Est,Stalingrad (métro de Paris)|Stalingrad,Gare de l'Est (métro de Paris)|Gare de l'Est,,,,,,
Garibaldi,19-10,,,48.90639693,13,13,30 juin 1952,,,,,,,,,2.331907153,https://fr.wikipedia.org/w/index.php?title=Garibaldi_(m%C3%A9tro_de_Paris)&action=raw,,Mairie de Saint-Ouen (métro de Paris)|Mairie de Saint-Ouen,Porte de Saint-Ouen (métro de Paris)|Porte de Saint-Ouen,,,,,,,,
George V,1808,,,48.87198257,1,1,13 août 1900,,,,,,,,,2.300462683,https://fr.wikipedia.org/w/index.php?title=George_V_(m%C3%A9tro_de_Paris)&action=raw,,Charles de Gaulle - Étoile (métro de Paris)|Charles de Gaulle - Étoile,Franklin D. Roosevelt (métro de Paris)|Franklin D. Roosevelt,,,,,,,,
Glacière,1508,,,48.8311505,6,6,24 avril 1906,,,,,,,,,2.343384326,https://fr.wikipedia.org/w/index.php?title=Glaci%C3%A8re_(m%C3%A9tro_de_Paris)&action=raw,,Saint-Jacques (métro de Paris)|Saint-Jacques,Corvisart (métro de Paris)|Corvisart,,,,,,,,
Goncourt,08-05,,,48.86983144,11,11,28 avril 1935,,,,,,,,,2.370686531,https://fr.wikipedia.org/w/index.php?title=Goncourt_(m%C3%A9tro_de_Paris)&action=raw,,République (métro de Paris)|République,Belleville (métro de Paris)|Belleville,,,,,,,,
Grands Boulevards,11-06,,,48.87142633,"8, 9",8,5 mai 1931,9,10 décembre 1933,,,,,,,2.344341874,https://fr.wikipedia.org/w/index.php?title=Grands_Boulevards_(m%C3%A9tro_de_Paris)&action=raw,,Richelieu - Drouot (métro de Paris)|Richelieu - Drouot,Bonne-Nouvelle (métro de Paris)|Bonne-Nouvelle,Richelieu - Drouot (métro de Paris)|Richelieu - Drouot,Bonne-Nouvelle (métro de Paris)|Bonne-Nouvelle,,,,,,
Guy Môquet,30-12,,,48.892221,13,13,26 février 1911,,,,,,,,,2.327174,https://fr.wikipedia.org/w/index.php?title=Guy_M%C3%B4quet_(m%C3%A9tro_de_Paris)&action=raw,Carrefour Marcadet,Porte de Saint-Ouen (métro de Paris)|Porte de Saint-Ouen,La Fourche (métro de Paris)|La Fourche,,,,,,,,
Hoche,309,,,48.89149389,5,5,12 octobre 1942,,,,,,,,,2.403143942,https://fr.wikipedia.org/w/index.php?title=Hoche_(m%C3%A9tro_de_Paris)&action=raw,,Église de Pantin (métro de Paris)|Église de Pantin,Porte de Pantin (métro de Paris)|Porte de Pantin,,,,,,,,
Hôtel de Ville,115,,,48.85676953,"1, 11",1,19 juillet 1900,11,28 avril 1935,,,,,,,2.35149454,https://fr.wikipedia.org/w/index.php?title=H%C3%B4tel_de_Ville_(m%C3%A9tro_de_Paris)&action=raw,,Châtelet (métro de Paris)|Châtelet,Saint-Paul (métro de Paris)|Saint-Paul,Châtelet (métro de Paris)|Châtelet,Rambuteau (métro de Paris)|Rambuteau,,,,,,
Iéna,1801,,,48.86446597,9,9,27 mai 1923,,,,,,,,,2.293379903,https://fr.wikipedia.org/w/index.php?title=I%C3%A9na_(m%C3%A9tro_de_Paris)&action=raw,,Trocadéro (métro de Paris)|Trocadéro,Alma - Marceau (métro de Paris)|Alma - Marceau,,,,,,,,
Invalides,1009,,,48.860907,"8, 13, 10",8,24 décembre 1913,13,27 juillet 1937,10,30 décembre 1923,,,,,2.314457,https://fr.wikipedia.org/w/index.php?title=Invalides_(m%C3%A9tro_de_Paris)&action=raw,,La Tour-Maubourg (métro de Paris)|La Tour-Maubourg,Concorde (métro de Paris)|Concorde,Champs-Élysées - Clemenceau (métro de Paris)|Champs-Élysées - Clemenceau,Varenne (métro de Paris)|Varenne,,,,,,
Jacques Bonsergent,804,,,48.8712005,5,5,17 décembre 1906,,,,,,,,,2.36060679,https://fr.wikipedia.org/w/index.php?title=Jacques_Bonsergent_(m%C3%A9tro_de_Paris)&action=raw,,Gare de l'Est (métro de Paris)|Gare de l'Est,République (métro de Paris)|République,,,,,,,,
Jasmin,715,,,48.85189783,9,9,8 novembre 1922,,,,,,,,,2.267856002,https://fr.wikipedia.org/w/index.php?title=Jasmin_(m%C3%A9tro_de_Paris)&action=raw,,Michel-Ange - Auteuil (métro de Paris)|Michel-Ange - Auteuil,Ranelagh (métro de Paris)|Ranelagh,,,,,,,,
Jaurès,22-12,,,48.88179008,"2, 5, 7, 7bis",2,23 février 1903,5,12 octobre 1942,7 bis,3 décembre 1967,7,18 janvier 1911,,,2.370198369,https://fr.wikipedia.org/w/index.php?title=Jaur%C3%A8s_(m%C3%A9tro_de_Paris)&action=raw,Rue d'Allemagne,Stalingrad (métro de Paris)|Stalingrad,Colonel Fabien (métro de Paris)|Colonel Fabien,Laumière (métro de Paris)|Laumière,Stalingrad (métro de Paris)|Stalingrad,Louis Blanc (métro de Paris)|Louis Blanc,Bolivar (métro de Paris)|Bolivar,,,,
Javel - André Citroën,1614,,,48.84616506,10,10,30 septembre 1913,,,,,,,,,2.278716266,https://fr.wikipedia.org/w/index.php?title=Javel_-_Andr%C3%A9_Citro%C3%ABn_(m%C3%A9tro_de_Paris)&action=raw,,"Mirabeau (métro de Paris)|Mirabeau', ""Église d'Auteuil (métro de Paris)|Église d'Auteuil",Charles Michels (métro de Paris)|Charles Michels,,,,,,,,
Jourdain,23-14,,,48.87519986,11,11,28 avril 1935,,,,,,,,,2.389507592,https://fr.wikipedia.org/w/index.php?title=Jourdain_(m%C3%A9tro_de_Paris)&action=raw,,Pyrénées (métro de Paris)|Pyrénées,Place des Fêtes (métro de Paris)|Place des Fêtes,,,,,,,,
Jules Joffrin,20-11,,,48.89243737,12,12,31 octobre 1912,,,,,,,,,2.344781756,https://fr.wikipedia.org/w/index.php?title=Jules_Joffrin_(m%C3%A9tro_de_Paris)&action=raw,,Marcadet - Poissonniers (métro de Paris)|Marcadet - Poissonniers,Lamarck - Caulaincourt (métro de Paris)|Lamarck - Caulaincourt,,,,,,,,
Jussieu,1207,,,48.846052,"7, 10",7,26 avril 1931,10,,,,,,,,2.355738,https://fr.wikipedia.org/w/index.php?title=Jussieu_(m%C3%A9tro_de_Paris)&action=raw,,Sully - Morland (métro de Paris)|Sully - Morland,Place Monge (métro de Paris)|Place Monge,Cardinal Lemoine (métro de Paris)|Cardinal Lemoine,Gare d'Austerlitz (métro de Paris)|Gare d'Austerlitz,,,,,,
Kléber,18-09,,,48.871138,6,6,2 octobre 1900,,,,,,,,,2.293118,https://fr.wikipedia.org/w/index.php?title=Kl%C3%A9ber_(m%C3%A9tro_de_Paris)&action=raw,,Charles de Gaulle - Étoile (métro de Paris)|Charles de Gaulle - Étoile,Boissière (métro de Paris)|Boissière,,,,,,,,
La Chapelle,22-09,,,48.88441111,2,2,31 janvier 1903,,,,,,,,,2.360287607,https://fr.wikipedia.org/w/index.php?title=La_Chapelle_(m%C3%A9tro_de_Paris)&action=raw,,Barbès - Rochechouart (métro de Paris)|Barbès - Rochechouart,Stalingrad (métro de Paris)|Stalingrad,,,,,,,,
La Courneuve - 8 Mai 1945,307,,,48.920777,7,7,6 mai 1987,,,,,,,,,2.410668,https://fr.wikipedia.org/w/index.php?title=La_Courneuve_-_8_Mai_1945_(m%C3%A9tro_de_Paris)&action=raw,,''Terminus''',Fort d'Aubervilliers (métro de Paris)|Fort d'Aubervilliers,,,,,,,,
La Fourche,3114,,,48.8869,13,13,26 février 1911,,,,,,,,,2.325875,https://fr.wikipedia.org/w/index.php?title=La_Fourche_(m%C3%A9tro_de_Paris)&action=raw,,"Guy Môquet (métro de Paris)|Guy Môquet', 'Brochant (métro de Paris)|Brochant",Place de Clichy (métro de Paris)|Place de Clichy,,,,,,,,
La Motte-Picquet - Grenelle,17-04,,,48.84914273,"2S, 5, 6, 8, 10",6,6 octobre 1932,8,13 juillet 1913,10,29 juillet 1937,5,17 octobre 1907,2S,24 avril 1906,2.298089862,https://fr.wikipedia.org/w/index.php?title=La_Motte-Picquet_-_Grenelle_(m%C3%A9tro_de_Paris)&action=raw,,Dupleix (métro de Paris)|Dupleix,Cambronne (métro de Paris)|Cambronne,Commerce (métro de Paris)|Commerce,École Militaire (métro de Paris)|École Militaire,Avenue Émile-Zola (métro de Paris)|Avenue Émile-Zola,Ségur (métro de Paris)|Ségur,,,,
La Muette,1711,,,48.85771818,9,9,8 novembre 1922,,,,,,,,,2.273719311,https://fr.wikipedia.org/w/index.php?title=La_Muette_(m%C3%A9tro_de_Paris)&action=raw,,Ranelagh (métro de Paris)|Ranelagh,Rue de la Pompe (métro de Paris)|Rue de la Pompe,,,,,,,,
La Tour-Maubourg,1008,,,48.857667,8,8,13 juillet 1913,,,,,,,,,2.310398519,https://fr.wikipedia.org/w/index.php?title=La_Tour-Maubourg_(m%C3%A9tro_de_Paris)&action=raw,,École Militaire (métro de Paris)|École Militaire,Invalides (métro de Paris)|Invalides,,,,,,,,
Lamarck - Caulaincourt,2012,,,48.889849,12,12,31 octobre 1912,,,,,,,,,2.338693,https://fr.wikipedia.org/w/index.php?title=Lamarck_-_Caulaincourt_(m%C3%A9tro_de_Paris)&action=raw,,Jules Joffrin (métro de Paris)|Jules Joffrin,Abbesses (métro de Paris)|Abbesses,,,,,,,,
Le Kremlin-Bicêtre,26-06,,,48.810388,7,7,10 décembre 1982,,,,,,,,,2.361849,https://fr.wikipedia.org/w/index.php?title=Le_Kremlin-Bic%C3%AAtre_(m%C3%A9tro_de_Paris)&action=raw,,Maison Blanche (métro de Paris)|Maison Blanche,Villejuif - Léo Lagrange (métro de Paris)|Villejuif - Léo Lagrange,,,,,,,,
Le Peletier,21-02,,,48.87472003,7,7,6 juin 1911,,,,,,,,,2.339548767,https://fr.wikipedia.org/w/index.php?title=Le_Peletier_(m%C3%A9tro_de_Paris)&action=raw,,Cadet (métro de Paris)|Cadet,Chaussée d'Antin - La Fayette (métro de Paris)|Chaussée d'Antin - La Fayette,,,,,,,,
Ledru-Rollin,12-15,,,48.851346,8,8,5 mai 1931,,,,,,,,,2.376121,https://fr.wikipedia.org/w/index.php?title=Ledru-Rollin_(m%C3%A9tro_de_Paris)&action=raw,,Bastille (métro de Paris)|Bastille,Faidherbe - Chaligny (métro de Paris)|Faidherbe - Chaligny,,,,,,,,
Les Agnettes,1903<br />GA31 / 31AGN,,,48.92303856,13,13,14 juin 2008,,,,,,,,,2.285891175,https://fr.wikipedia.org/w/index.php?title=Les_Agnettes_(m%C3%A9tro_de_Paris)&action=raw,,Les Courtilles (métro de Paris)|Les Courtilles,Gabriel Péri (métro de Paris)|Gabriel Péri,,,,,,,,
Les Courtilles,1904,,,48.93060576,13,13,14 juin 2008,,,,,,,,,2.283788323,https://fr.wikipedia.org/w/index.php?title=Les_Courtilles_(m%C3%A9tro_de_Paris)&action=raw,,''Terminus''',Les Agnettes (métro de Paris)|Les Agnettes,,,,,,,,
Les Gobelins,1413,,,48.8364,"7, 10",7,26 avril 1931,10,15 février 1930,,,,,,,2.35225,https://fr.wikipedia.org/w/index.php?title=Les_Gobelins_(m%C3%A9tro_de_Paris)&action=raw,,Censier - Daubenton (métro de Paris)|Censier - Daubenton,Place d'Italie (métro de Paris)|Place d'Italie,,,,,,,,
Liberté,25-12,,,48.825882,8,8,5 octobre 1942,,,,,,,,,2.407022,https://fr.wikipedia.org/w/index.php?title=Libert%C3%A9_(m%C3%A9tro_de_Paris)&action=raw,,Porte de Charenton (métro de Paris)|Porte de Charenton,Charenton - Écoles (métro de Paris)|Charenton - Écoles,,,,,,,,
Liège,613,,,48.879626,13,13,26 février 1911,,,,,,,,,2.326983,https://fr.wikipedia.org/w/index.php?title=Li%C3%A8ge_(m%C3%A9tro_de_Paris)&action=raw,Berlin,Place de Clichy (métro de Paris)|Place de Clichy,Saint-Lazare (métro de Paris)|Saint-Lazare,,,,,,,,
Louise Michel,2913,1937,,48.888836,3,3,24 septembre 1937,,,,,,,,,2.288002,https://fr.wikipedia.org/w/index.php?title=Louise_Michel_(m%C3%A9tro_de_Paris)&action=raw,Vallier,Anatole France (métro de Paris)|Anatole France,Porte de Champerret (métro de Paris)|Porte de Champerret,,,,,,,,
Lourmel,16-10,,,48.8386045,8,8,27 juillet 1937,,,,,,,,,2.2818169,https://fr.wikipedia.org/w/index.php?title=Lourmel_(m%C3%A9tro_de_Paris)&action=raw,,Balard (métro de Paris)|Balard,Boucicaut (métro de Paris)|Boucicaut,,,,,,,,
Louvre - Rivoli,112,,,48.86108,1,1,13 août 1900,,,,,,,,,2.340283,https://fr.wikipedia.org/w/index.php?title=Louvre_-_Rivoli_(m%C3%A9tro_de_Paris)&action=raw,,Palais-Royal - Musée du Louvre (métro de Paris)|Palais-Royal - Musée du Louvre,Châtelet (métro de Paris)|Châtelet,,,,,,,,
Mabillon,214,,,48.85277499,10,10,10 mars 1925,,,,,,,,,2.335321605,https://fr.wikipedia.org/w/index.php?title=Mabillon_(m%C3%A9tro_de_Paris)&action=raw,,Sèvres - Babylone (métro de Paris)|Sèvres - Babylone,Odéon (métro de Paris)|Odéon,,,,,,,,
Madeleine,10-03 et MAD,,,48.87006435,"8, 12, 14",8,13 juillet 1913,12,5 novembre 1910,14,15 octobre 1998,,,,,2.3251637,https://fr.wikipedia.org/w/index.php?title=Madeleine_(m%C3%A9tro_de_Paris)&action=raw,,Concorde (métro de Paris)|Concorde,Opéra (métro de Paris)|Opéra,Saint-Lazare (métro de Paris)|Saint-Lazare,Concorde (métro de Paris)|Concorde,Saint-Lazare (métro de Paris)|Saint-Lazare,Pyramides (métro de Paris)|Pyramides,,,,
Mairie d'Issy,2803,,,48.824152,12,12,24 mars 1934,,,,,,,,,2.273434,https://fr.wikipedia.org/w/index.php?title=Mairie_d%27Issy_(m%C3%A9tro_de_Paris)&action=raw,,Corentin Celton (métro de Paris)|Corentin Celton,''Terminus''',,,,,,,,
Mairie d'Ivry,26-05,,,48.81112408,7,7,1 mai 1946,,,,,,,,,2.383386791,https://fr.wikipedia.org/w/index.php?title=Mairie_d%27Ivry_(m%C3%A9tro_de_Paris)&action=raw,,Pierre et Marie Curie (métro de Paris)|Pierre et Marie Curie,''Terminus''',,,,,,,,
Mairie de Clichy,19-01,,,48.90395865,13,13,3 mai 1980,,,,,,,,,2.305342555,https://fr.wikipedia.org/w/index.php?title=Mairie_de_Clichy_(m%C3%A9tro_de_Paris)&action=raw,,Gabriel Péri (métro de Paris)|Gabriel Péri,Porte de Clichy (métro de Paris)|Porte de Clichy,,,,,,,,
Mairie de Montreuil,25-03,,,48.862283,9,9,14 octobre 1937,,,,,,,,,2.441847,https://fr.wikipedia.org/w/index.php?title=Mairie_de_Montreuil_(m%C3%A9tro_de_Paris)&action=raw,,Croix de Chavaux (métro de Paris)|Croix de Chavaux,''Terminus''',,,,,,,,
Mairie de Montrouge,1507,,,48.81806483,4,4,23 mars 2013,,,,,,,,,2.31953674,https://fr.wikipedia.org/w/index.php?title=Mairie_de_Montrouge_(m%C3%A9tro_de_Paris)&action=raw,,Porte d'Orléans (métro de Paris)|Porte d'Orléans,''Terminus''',,,,,,,,
Mairie de Saint-Ouen,19-11<br />GA63 / 63MSO,,,48.91161864,13,13,30 juin 1952,,,,,,,,,2.333752513,https://fr.wikipedia.org/w/index.php?title=Mairie_de_Saint-Ouen_(m%C3%A9tro_de_Paris)&action=raw,,Carrefour Pleyel (métro de Paris)|Carrefour Pleyel,Garibaldi (métro de Paris)|Garibaldi,,,,,,,,
Mairie des Lilas,23-03,,,48.87978806,11,11,17 février 1937,,,,,,,,,2.416289449,https://fr.wikipedia.org/w/index.php?title=Mairie_des_Lilas_(m%C3%A9tro_de_Paris)&action=raw,,Porte des Lilas (métro de Paris)|Porte des Lilas,''Terminus''',,,,,,,,
Maison Blanche,1409<br />GA41 / 41MBP,,,48.822155,7,7,7 mars 1930,,,,,,,,,2.358531,https://fr.wikipedia.org/w/index.php?title=Maison_Blanche_(m%C3%A9tro_de_Paris)&action=raw,,Tolbiac (métro de Paris)|Tolbiac,"Porte d'Italie (métro de Paris)|Porte d'Italie, 'Le Kremlin-Bicêtre (métro de Paris)|Le Kremlin-Bicêtre",,,,,,,,
Maisons-Alfort - Les Juilliottes,25-04,,,48.802567,8,8,27 avril 1972,,,,,,,,,2.446432,https://fr.wikipedia.org/w/index.php?title=Maisons-Alfort_-_Les_Juilliottes_(m%C3%A9tro_de_Paris)&action=raw,,Maisons-Alfort - Stade (métro de Paris)|Maisons-Alfort - Stade,Créteil - L'Échat (métro de Paris)|Créteil - L'Échat,,,,,,,,
Maisons-Alfort - Stade,2515,,,48.80868116,8,8,19 septembre 1970,,,,,,,,,2.436073422,https://fr.wikipedia.org/w/index.php?title=Maisons-Alfort_-_Stade_(m%C3%A9tro_de_Paris)&action=raw,,École vétérinaire de Maisons-Alfort (métro de Paris)|École vétérinaire de Maisons-Alfort,Maisons-Alfort - Les Juilliottes (métro de Paris)|Maisons-Alfort - Les Juilliottes,,,,,,,,
Malakoff - Plateau de Vanves,27-07,,,48.822623,13,13,9 novembre 1976,,,,,,,,,2.298511,https://fr.wikipedia.org/w/index.php?title=Malakoff_-_Plateau_de_Vanves_(m%C3%A9tro_de_Paris)&action=raw,,Porte de Vanves (métro de Paris)|Porte de Vanves,Malakoff - Rue Étienne-Dolet (métro de Paris)|Malakoff - Rue Étienne-Dolet,,,,,,,,
