Nom,Fermetrue,Ouverture,latitude,longitude,Nom de référence
Mairie de Saint-Ouen,,6/30/1952 0:00:00,48.91161864,2.333752513,Mairie de Saint-Ouen
Mairie des Lilas,,2/17/1937 0:00:00,48.87978806,2.416289449,Mairie des Lilas
Maison Blanche,,3/7/1930 0:00:00,48.822155,2.358531,Maison Blanche
Maisons-Alfort - Les Juilliottes,,4/27/1972 0:00:00,48.802567,2.446432,Maisons-Alfort - Les Juilliottes
Maisons-Alfort - Stade,,9/19/1970 0:00:00,48.80868116,2.436073422,Maisons-Alfort - Stade
Malakoff - Plateau de Vanves,,11/9/1976 0:00:00,48.822623,2.298511,Malakoff - Plateau de Vanves
Malakoff - Rue Étienne-Dolet,,11/9/1976 0:00:00,48.81470258,2.297301292,Malakoff - Rue Étienne-Dolet
Malesherbes,,5/23/1910 0:00:00,48.882476,2.311002,Malesherbes
Maraîchers,,12/10/1933 0:00:00,48.85285088,2.40699023,Maraîchers
Marcadet - Poissonniers,,4/21/1908 0:00:00,48.89036876,2.350028157,Marcadet - Poissonniers
Marcel Sembat,,2/3/1934 0:00:00,48.83367001,2.243579328,Marcel Sembat
Martin Nadaud,8/23/1969 0:00:00,1/25/1905 0:00:00,48.86489827,2.398120165,Martin Nadaud
Torcy,11 mai 1946,8/23/1916 0:00:00,48.890483,2.359968,Marx Dormoy
Marx Dormoy,,11 mai 1946,48.890483,2.359968,Marx Dormoy
Maubert - Mutualité,,2/15/1930 0:00:00,48.8501929,2.347936034,Maubert - Mutualité
Ménilmontant,,1/31/1903 0:00:00,48.866248,2.383618,Ménilmontant
Michel Bizot,,5/5/1931 0:00:00,48.83748523,2.40123421,Michel Bizot
Michel-Ange - Auteuil,,9/30/1913 0:00:00,48.84777129,2.263870239,Michel-Ange - Auteuil
Michel-Ange - Molitor,,9/30/1913 0:00:00,48.84496,2.261194,Michel-Ange - Molitor
Mirabeau,,9/30/1913 0:00:00,48.84673872,2.271707654,Mirabeau
Miromesnil,,5/27/1923 0:00:00,48.87366684,2.314464748,Miromesnil
Monceau,,10/7/1902 0:00:00,48.880319,2.308603,Monceau
Montgallet,,5/5/1931 0:00:00,48.84427635,2.389974296,Montgallet
Montparnasse - Bienvenüe,,04/24/1906 0:00:00,48.843466,2.323072,Montparnasse - Bienvenüe
Mouton-Duvernet,,10/30/1909 0:00:00,48.8314,2.3299,Mouton-Duvernet
Nation,,7/19/1900 0:00:00,48.84846575,2.395905745,Nation
Nationale,,3/1/1909 0:00:00,48.83318272,2.362717688,Nationale
Notre-Dame-de-Lorette,,11/5/1910 0:00:00,48.876084,2.338586,Notre-Dame-de-Lorette
Notre-Dame-des-Champs,,11/5/1910 0:00:00,48.84456761,2.328787744,Notre-Dame-des-Champs
Oberkampf,,1/15/1907 0:00:00,48.864545,2.368877,Oberkampf
Odéon,,1/9/1910 0:00:00,48.852066,2.338951,Odéon
Olympiades,,6/26/2007 0:00:00,48.82702,2.366403,Olympiades
Opéra,,10/19/1904 0:00:00,48.87063595,2.3323524,Opéra
Ourcq,,10/12/1942 0:00:00,48.88685563,2.385747135,Ourcq
Palais Royal,29 mars 1989,7/19/1900 0:00:00,48.86284682,2.335816612,Palais Royal - Musée du Louvre
Palais-Royal - Musée du Louvre,,29 mars 1989,48.86284682,2.335816612,Palais-Royal - Musée du Louvre
Parmentier,,10/19/1904 0:00:00,48.865299,2.374381,Parmentier
Passy,,04/24/1906 0:00:00,48.857445,2.285779,Passy
Pasteur,,04/24/1906 0:00:00,48.84283594,2.312681079,Pasteur
Pelleport,,11/27/1921 0:00:00,48.86867053,2.401751876,Pelleport
Père Lachaise,,2/25/1903 0:00:00,48.862921,2.387388,Père Lachaise
Pereire,,5/23/1910 0:00:00,48.884648,2.299211,Pereire
Pernety,,1/21/1937 0:00:00,48.83421027,2.318512201,Pernety
Philippe Auguste,,1/31/1903 0:00:00,48.858021,2.390938,Philippe Auguste
Saint-Mandé,1er mars 1937,3/1/1909 0:00:00,48.84515011,2.40049392,Picpus
Picpus,,1er mars 1937,48.84515011,2.40049392,Picpus
Pierre Curie,8 mars 2007,5/1/1946 0:00:00,48.81591773,2.377893627,Pierre et Marie Curie
Pierre et Marie Curie,,8 mars 2007,48.81591773,2.377893627,Pierre et Marie Curie
Pigalle,,10/7/1902 0:00:00,48.882255,2.337573,Pigalle
Place d'Italie,,6/2/1906 0:00:00,48.831483,2.355692,Place d'Italie
Place de Clichy,,10/26/1902 0:00:00,48.883809,2.327625,Place de Clichy
Place des Fêtes,,2/13/1912 0:00:00,48.87684044,2.392959595,Place des Fêtes
Place Monge,,2/15/1930 0:00:00,48.84359,2.352279,Place Monge
Plaisance,,1/21/1937 0:00:00,48.83155306,2.313740551,Plaisance
Pointe du Lac,,10/8/2011 0:00:00,48.76878622,2.46481061,Pointe du Lac
Poissonnière,,11/5/1910 0:00:00,48.87707506,2.348445654,Poissonnière
Pont de Levallois - Bécon,,9/24/1937 0:00:00,48.897313,2.280787,Pont de Levallois - Bécon
Pont de Neuilly,,4/29/1937 0:00:00,48.88450938,2.259891725,Pont de Neuilly
Pont de Sèvres,,2/3/1934 0:00:00,48.82974679,2.231034636,Pont de Sèvres
Pont Marie,,4/16/1926 0:00:00,48.8532868,2.357616127,Pont Marie
Pont-Neuf,1er décembre 1990,4/16/1926 0:00:00,48.85867641,2.341488004,Pont-Neuf
Pont-Neuf,,1er décembre 1990,48.85867641,2.341488004,Pont-Neuf - La Monnaie
Porte d'Auteuil,,9/30/1913 0:00:00,48.848025,2.25875,Porte d'Auteuil
Porte d'Italie,,3/7/1930 0:00:00,48.819196,2.360805,Porte d'Italie
Porte d'Ivry,,4/26/1931 0:00:00,48.82095992,2.370439768,Porte d'Ivry
Porte d'Orléans,,10/30/1909 0:00:00,48.82319,2.325363,Porte d'Orléans
Porte Dauphine,,12/13/1900 0:00:00,48.871545,2.276768,Porte Dauphine
Porte de Bagnolet,,4/2/1971 0:00:00,48.864565,2.407278,Porte de Bagnolet
Porte de Champerret,,2/11/1911 0:00:00,48.885851,2.293487,Porte de Champerret
Porte de Charenton,,5/5/1931 0:00:00,48.83278016,2.400400043,Porte de Charenton
Porte de Choisy,,3/7/1930 0:00:00,48.82031533,2.365292609,Porte de Choisy
Porte de Clichy,,1/20/1912 0:00:00,48.89434542,2.313652039,Porte de Clichy
Porte de Clignancourt,,4/21/1908 0:00:00,48.89728706,2.344778877,Porte de Clignancourt
Porte de la Chapelle,,8/23/1916 0:00:00,48.89727437,2.359190583,Porte de la Chapelle
Porte de la Villette,,11/5/1910 0:00:00,48.89708922,2.385875881,Porte de la Villette
Porte de Montreuil,,12/10/1933 0:00:00,48.85379155,2.412244678,Porte de Montreuil
Porte de Pantin,,10/12/1942 0:00:00,48.88847113,2.391814291,Porte de Pantin
Porte de Saint-Cloud,,9/29/1923 0:00:00,48.838082,2.256956,Porte de Saint-Cloud
Porte de Saint-Ouen,,2/26/1911 0:00:00,48.89677359,2.32870996,Porte de Saint-Ouen
Porte de Vanves,,1/21/1937 0:00:00,48.82794045,2.305884361,Porte de Vanves
Porte de Versailles,,11/5/1910 0:00:00,48.832328,2.287841,Porte de Versailles
Porte de Vincenne,,7/19/1900 0:00:00,48.84726571,2.408883525,Porte de Vincenne
Porte des Lilas,,11/27/1921 0:00:00,48.877183,2.406655,Porte des Lilas
Porte Dorée,,5/5/1931 0:00:00,48.83548144,2.406099737,Porte Dorée
Porte Maillot,,7/19/1900 0:00:00,48.8779645,2.281836173,Porte Maillot
Pré-Saint-Gervais,,1/18/1911 0:00:00,48.8802502,2.398914099,Pré-Saint-Gervais
Pyramides,,7/1/1916 0:00:00,48.8669463,2.333665066,Pyramides
Pyrénées,,4/28/1935 0:00:00,48.87387501,2.385258973,Pyrénées
Quai de la Gare,,1er juin 1916,48.837069,2.372773,Quai de la Gare
Quai de la Rapée,,7/13/1906 0:00:00,48.84653927,2.365826368,Quai de la Rapée
Place Mazas,15 octobre 1907,7/13/1906 0:00:00,48.84653927,2.365826368,Quai de la Rapée
Pont d'Austerlitz,1er juin 1916,15 octobre 1907,48.84653927,2.365826368,Quai de la Rapée
Quatre-Septembre,,11/3/1904 0:00:00,48.869574,2.336633,Quatre-Septembre
Rambuteau,,4/28/1935 0:00:00,48.861951,2.353905,Rambuteau
Ranelagh,,11/8/1922 0:00:00,48.85501987,2.269634306,Ranelagh
Raspail,,04/24/1906 0:00:00,48.83919413,2.330606282,Raspail
Rue Saint-Denis,15 octobre 1907,11/19/1904 0:00:00,48.86624629,2.352388501,Réaumur - Sébastopol
Réaumur - Sébastopol,,15 octobre 1907,48.86624629,2.352388501,Réaumur - Sébastopol
Rennes,,11/5/1910 0:00:00,48.84819314,2.32776314,Rennes
République,,10/19/1904 0:00:00,48.867503,2.363811,République
Reuilly,5 mai 1931,8/20/1900 0:00:00,48.847265,2.386702,Reuilly - Diderot
Reuilly - Diderot,,5 mai 1931,48.847265,2.386702,Reuilly - Diderot
Richard-Lenoir,,12/17/1906 0:00:00,48.859772,2.371843,Richard-Lenoir
Richelieu - Drouot,,6/30/1928 0:00:00,48.87198735,2.338741422,Richelieu - Drouot
Riquet,,11/5/1910 0:00:00,48.88788032,2.373577952,Riquet
Robespierre,,10/14/1937 0:00:00,48.855683,2.423678,Robespierre
Rome,,11/6/1902 0:00:00,48.882425,2.322052,Rome
Rue de la Pompe,,11/8/1922 0:00:00,48.86391193,2.279051542,Rue de la Pompe
Rue des Boulets - Rue de Montreuil,1er septembre 1998,12/10/1933 0:00:00,48.85181135,2.390151322,Rue des Boulets
Rue des Boulets,,1er septembre 1998,48.85181135,2.390151322,Rue des Boulets
Rue du Bac,,11/5/1910 0:00:00,48.85569049,2.325606644,Rue du Bac
Saint-Maur,1er septembre 1998,10/19/1904 0:00:00,48.864335,2.379448,Rue Saint-Maur
Rue Saint-Maur,,1er septembre 1998,48.864335,2.379448,Rue Saint-Maur
Saint-Ambroise,,12/10/1933 0:00:00,48.86129512,2.374210954,Saint-Ambroise
Saint-Augustin,,5/27/1923 0:00:00,48.8744413,2.322133183,Saint-Augustin
Saint-Denis - Porte de Paris,,6/20/1976 0:00:00,48.93021104,2.357769012,Saint-Denis - Porte de Paris
Saint-Denis - Université,,5/25/1998 0:00:00,48.945799,2.363674,Saint-Denis - Université
Saint-Fargeau,,11/27/1921 0:00:00,48.87208261,2.404519916,Saint-Fargeau
Saint-François-Xavier,,12/30/1923 0:00:00,48.85195078,2.314475477,Saint-François-Xavier
Saint-Georges,,4/8/1911 0:00:00,48.87844922,2.337381542,Saint-Georges
Saint-Germain-des-Prés,,1/9/1910 0:00:00,48.8537739,2.333280444,Saint-Germain-des-Prés
Saint-Jacques,,04/24/1906 0:00:00,48.83291258,2.337081134,Saint-Jacques
Saint-Lazare,,10/19/1904 0:00:00,48.87557787,2.326185659,Saint-Lazare
Tourelle,26 avril 1937,3/24/1934 0:00:00,48.84629776,2.418673101,Saint-Mandé
Saint-Mandé - Tourelle,,16 juillet 2002,48.84629776,2.418673101,Saint-Mandé
