Nom,end_date,start_date,latitude,longitude,Nom de référence,Note
Les Halles,,1977-10-03,48.862396,2.345972,Les Halles,Déplacé
Les Sablons,,1937-04-29,48.8809018,2.272539085,Les Sablons,
Liberté,,1942-10-05,48.825882,2.407022,Liberté,
Berlin,1914-01-08,1911-02-26,48.879626,2.326983,Liège,
Liège,1939-09-03,1914-01-08,48.879626,2.326983,Liège,Fermée au début de la guerre
Liège,,1968-09-16,48.879626,2.326983,Liège,
Louis Blanc,,1910-11-05,48.88113745,2.364839315,Louis Blanc,
Vallier,1946-05-01,1937-09-24,48.888836,2.288002,Louise Michel,
Louise Michel,,1946-05-01,48.888836,2.288002,Louise Michel,Renommé
Lourmel,,1937-07-27,48.8386045,2.2818169,Lourmel,
Louvre,1989-03-29,1900-08-13,48.86108,2.340283,Louvre - Rivoli,
Louvre - Rivoli,,1989-03-29,48.86108,2.340283,Louvre - Rivoli,Renommé
Mabillon,,1925-03-10,48.85277499,2.335321605,Mabillon,
Madeleine,,1910-11-05,48.87006435,2.3251637,Madeleine,
Mairie d'Issy,,1934-03-24,48.824152,2.273434,Mairie d'Issy,
Mairie d'Ivry,,1946-05-01,48.81112408,2.383386791,Mairie d'Ivry,
Mairie de Clichy,,1980-05-03,48.90395865,2.305342555,Mairie de Clichy,
Mairie de Montreuil,,1937-10-14,48.862283,2.441847,Mairie de Montreuil,
Mairie de Montrouge,,2013-03-23,48.81806483,2.31953674,Mairie de Montrouge,
Mairie de Saint-Ouen,,1952-06-30,48.91161864,2.333752513,Mairie de Saint-Ouen,
Mairie des Lilas,,1937-02-17,48.87978806,2.416289449,Mairie des Lilas,
Maison Blanche,,1930-03-07,48.822155,2.358531,Maison Blanche,
Maisons-Alfort - Les Juilliottes,,1972-04-27,48.802567,2.446432,Maisons-Alfort - Les Juilliottes,
Maisons-Alfort - Stade,,1970-09-19,48.80868116,2.436073422,Maisons-Alfort - Stade,
Malakoff - Plateau de Vanves,,1976-11-09,48.822623,2.298511,Malakoff - Plateau de Vanves,
Malakoff - Rue Étienne-Dolet,,1976-11-09,48.81470258,2.297301292,Malakoff - Rue Étienne-Dolet,
Malesherbes,,1910-05-23,48.882476,2.311002,Malesherbes,
Maraîchers,,1933-12-10,48.85285088,2.40699023,Maraîchers,
Marcadet,1931-08-25,1908-04-21,48.891195,2.349582,Marcadet,
Marcadet - Poissonniers,,1931-08-25,48.891195,2.349582,Marcadet,
Poissonniers,1931-08-25,1916-08-23,48.891478,2.350319,Poissonniers,
Marcadet - Poissonniers,,1931-08-25,48.891478,2.350319,Poissonniers,
Marcel Sembat,,1934-02-03,48.83367001,2.243579328,Marcel Sembat,
Martin Nadaud,1969-08-23,1905-01-25,48.86489827,2.398120165,Martin Nadaud,
Torcy,1946-05-11,1916-08-23,48.890483,2.359968,Marx Dormoy,
Marx Dormoy,,1946-05-11,48.890483,2.359968,Marx Dormoy,Renommé
Maubert - Mutualité,,1930-02-15,48.8501929,2.347936034,Maubert - Mutualité,
Ménilmontant,,1903-01-31,48.866248,2.383618,Ménilmontant,
Michel Bizot,,1931-05-05,48.83748523,2.40123421,Michel Bizot,
Michel-Ange - Auteuil,,1913-09-30,48.84777129,2.263870239,Michel-Ange - Auteuil,
Michel-Ange - Molitor,,1913-09-30,48.84496,2.261194,Michel-Ange - Molitor,
Mirabeau,,1913-09-30,48.84673872,2.271707654,Mirabeau,
Miromesnil,,1923-05-27,48.87366684,2.314464748,Miromesnil,
Monceau,,1902-10-07,48.880319,2.308603,Monceau,
Montgallet,,1931-05-05,48.84427635,2.389974296,Montgallet,
Avenue du Maine,1933-06-30,1906-04-24,48.84202,2.321668,Avenue du Maine,
Bienvenüe,1937-01-31,1933-06-30,48.84202,2.321668,Avenue du Maine,
Montparnasse - Bienvenüe,,1937-01-31,48.84202,2.321668,Avenue du Maine,
Montparnasse,1937-01-31,1910-04-06,48.843826,2.323934,Montparnasse,
Montparnasse - Bienvenüe,,1937-01-31,48.843826,2.323934,Montparnasse,
Mouton-Duvernet,,1909-10-30,48.8314,2.3299,Mouton-Duvernet,
Nation,,1900-07-19,48.84846575,2.395905745,Nation,
Nationale,,1909-03-01,48.83318272,2.362717688,Nationale,
