OBJECTID,N_SQ_PE,L_EAU,C_DEP,C_NIVEAU,B_VISI,N_SQ_DE,SHAPE_Length,SHAPE_Area
424,910000006,Orge,91,0,N,7,1357.69550622662,3442.9755474357
425,750000462,,75,0,O,1,2693.72033588187,18241.2003824953
426,750000168,Ruisseau des Sablons,75,0,O,1,2559.09907367017,5407.69026898762
427,930000006,Canal de Chelles,93,0,O,3,6509.85269457359,79492.034792326
428,910000001,,91,0,O,7,421.431699203544,593.418363899105
429,750000156,Ruisseau d'Armenonville,75,0,O,1,2660.94576484891,5512.63008790315
430,930000017,Seine,93,0,N,3,249.378360577401,2177.3565512528
431,930000017,Seine,93,0,N,3,169.760385100711,1747.01196718939
432,930000017,Seine,93,0,N,3,239.022431685833,1522.57898753999
433,940000011,Seine,94,0,O,4,35992.2853496939,1989543.847343
434,0,,75,0,O,,81.206205589199,175.826780949956
435,0,,75,0,O,,205.210747049436,465.683386519813
436,930000017,Seine,93,0,N,3,192.30704041604,858.609217347303
437,930000017,Seine,93,0,N,3,125.213066627037,884.629086954354
438,930000017,Seine,93,0,N,3,265.828270364318,1543.37959913559
439,930000017,Seine,93,0,N,3,54.05236562176,173.912144453712
440,930000017,Seine,93,0,N,3,284.683822121958,2986.52287701327
441,920000017,Port de Gennevilliers,92,0,O,2,13074.7373087807,495232.473373971
442,950000004,Seine,95,0,N,8,1887.82693708176,13376.0215471113
443,0,,77,0,O,,305.74078536421,4345.81245007039
444,940000011,Seine,94,0,N,4,295.077929599001,3315.55625230707
445,940000011,Seine,94,0,N,4,283.180104809967,1591.16561112962
446,940000011,Seine,94,0,N,4,679.856758979445,8734.25246301275
447,940000011,Seine,94,0,N,4,316.029828135289,1423.08032772781
448,940000011,Seine,94,0,N,4,442.888004413177,2654.86155224316
449,940000011,Seine,94,0,N,4,282.848152483696,2605.01969312755
450,940000011,Seine,94,0,N,4,339.102179903306,1313.90900158747
451,940000011,Seine,94,0,N,4,317.824492311063,2317.54890904285
452,940000011,Seine,94,0,N,4,302.986371411859,2115.11547594575
453,930000002,Canal Saint-Denis,93,0,N,3,1602.31166136233,9075.73560364205
454,930000003,Canal Saint-Denis,93,0,O,3,12775.9251430138,165635.795476537
455,920000020,Port de Gennevilliers,92,0,N,2,686.875211313732,5153.58146284425
456,0,,93,0,O,,927.168761498611,8176.56367808765
457,950000005,Seine,95,0,O,8,20348.826117814,773402.39040278
458,950000005,Seine,95,0,O,8,179.172028702568,258.928968305269
459,950000005,Seine,95,0,O,8,18415.8917222447,1042969.99376503
460,950000005,Seine,95,0,O,8,4343.48874097013,177345.572111731
461,950000005,Seine,95,0,O,8,4476.92026255204,138357.205692695
462,780000010,Seine,78,0,O,6,335004.167342644,20597405.3222007
463,0,,93,0,N,,112.427867490962,371.130394227489
464,930000004,Canal Saint-Martin,93,0,N,3,304.84223156133,1700.30102467172
465,0,,75,0,O,,140.136067726813,514.518585980986
466,0,,75,0,O,,104.355853580232,267.472505691118
467,0,,75,0,O,,108.102145127573,332.45224148912
468,0,,75,0,N,,23.4161533745622,26.2378632575106
